COMPANY,PLAN,PREMIUM_CRORES,PREMIUM,NOP,LIVES_COVERED,MONTH,YEAR,DATE,ATS
ADITYA BIRLA SUN LIFE,Group Single Premium,1.82,18247420.41,0,392,MAR,2013,3/1/2013,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,271.4,2713974356,42,104082,MAR,2013,3/1/2013,64618437
ADITYA BIRLA SUN LIFE,Individual Single Premium,11.68,116809993.1,97,NULL,MAR,2014,3/1/2014,1204226
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,151.52,1515242613,86483,NULL,MAR,2014,3/1/2014,17520
ADITYA BIRLA SUN LIFE,Group Single Premium,1.42,14242154.62,0,608,MAR,2014,3/1/2014,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,363.87,3638688393,83,196052,MAR,2014,3/1/2014,43839619
ADITYA BIRLA SUN LIFE,Individual Single Premium,1.23,12312254.22,57,NULL,JAN,2016,1/1/2016,216004
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,49.61,496146928.7,24984,NULL,JAN,2016,1/1/2016,19858
ADITYA BIRLA SUN LIFE,Group Single Premium,1.17,11722277.87,0,1962,JAN,2016,1/1/2016,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,73.87,738687229.3,24,172362,JAN,2016,1/1/2016,30778634
ADITYA BIRLA SUN LIFE,Individual Single Premium,0.73,7279059.79,19,NULL,OCT,2010,10/1/2010,383108
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,98.94,989375198.7,52081,NULL,OCT,2010,10/1/2010,18996
ADITYA BIRLA SUN LIFE,Group Single Premium,0.57,5732625.01,0,105,OCT,2010,10/1/2010,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,19.66,196615508.5,15,22009,OCT,2010,10/1/2010,13107700
ADITYA BIRLA SUN LIFE,Individual Single Premium,5.59,55850130.23,108,NULL,OCT,2011,10/1/2011,517130
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,72.65,726539176.6,78995,NULL,OCT,2011,10/1/2011,9197
ADITYA BIRLA SUN LIFE,Group Single Premium,0.41,4143841.75,0,77,OCT,2011,10/1/2011,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,19.49,194875900,16,75453,OCT,2011,10/1/2011,12179743
ADITYA BIRLA SUN LIFE,Individual Single Premium,3.75,37456541.65,108,NULL,FEB,2012,2/1/2012,346819
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,90.7,906986411.8,70397,NULL,FEB,2012,2/1/2012,12883
ADITYA BIRLA SUN LIFE,Group Single Premium,0.13,1339488.3,0,54,FEB,2012,2/1/2012,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,14.46,144558427.5,47,72323,FEB,2012,2/1/2012,3075711
ADITYA BIRLA SUN LIFE,Individual Single Premium,0.95,9527274.81,48,NULL,APR,2013,4/1/2013,198484
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,41.87,418662962.5,15687,NULL,APR,2013,4/1/2013,26688
ADITYA BIRLA SUN LIFE,Group Single Premium,1.51,15102195.8,0,219,APR,2013,4/1/2013,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,3.97,39741937.47,25,38102,APR,2013,4/1/2013,1589677
ADITYA BIRLA SUN LIFE,Individual Single Premium,2.11,21127501.97,64,NULL,NOV,2015,11/1/2015,330117
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,44.54,445425500.7,18149,NULL,NOV,2015,11/1/2015,24542
ADITYA BIRLA SUN LIFE,Group Single Premium,0.7,7011128.95,0,1433,NOV,2015,11/1/2015,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,46.85,468501249,26,100056,NOV,2015,11/1/2015,18019278
ADITYA BIRLA SUN LIFE,Group Single Premium,1.61,16100984.73,0,2304,MAR,2016,3/1/2016,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,541.31,5413144969,70,149556,MAR,2016,3/1/2016,77330642
ADITYA BIRLA SUN LIFE,Individual Single Premium,11.05,110548998.5,179,NULL,JUN,2011,6/1/2011,617592
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,95.7,956988569,72946,NULL,JUN,2011,6/1/2011,13119
ADITYA BIRLA SUN LIFE,Individual Single Premium,0.7,7026447.37,53,NULL,APR,2012,4/1/2012,132574
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,37.67,376717594.1,39849,NULL,APR,2012,4/1/2012,9453
ADITYA BIRLA SUN LIFE,Group Single Premium,0.39,3871080.8,0,68,APR,2012,4/1/2012,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,37.48,374779139.1,34,176590,APR,2012,4/1/2012,11022915
ADITYA BIRLA SUN LIFE,Individual Single Premium,1.04,10385138.56,74,NULL,SEP,2013,9/1/2013,140339
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,101.46,1014626301,36307,NULL,SEP,2013,9/1/2013,27945
ADITYA BIRLA SUN LIFE,Group Single Premium,0.91,9122734.46,0,321,SEP,2013,9/1/2013,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,44.11,441095685.6,25,63020,SEP,2013,9/1/2013,17643827
ADITYA BIRLA SUN LIFE,Individual Single Premium,7.06,70636955.94,190,NULL,MAR,2016,3/1/2016,371773
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,162.66,1626560566,58098,NULL,MAR,2016,3/1/2016,27996
ADITYA BIRLA SUN LIFE,Individual Single Premium,2.56,25610658.48,90,0,AUG,2017,8/1/2017,284562
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,62.85,628498887.1,19875,0,AUG,2017,8/1/2017,31622
ADITYA BIRLA SUN LIFE,Group Single Premium,63.21,632077135.6,3,49977,AUG,2017,8/1/2017,210692378
